Job_Title,Experience,Skills,Education,Language,Soft_Skills,Full_Description
Content Writer (E-commerce),1+ years,"Zapier, Excel, Return Handling, Google Ads, Social Media Marketing",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Zapier, Excel, Return Handling, Google Ads, Social Media Marketing. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Customer Service, Order Management, Google Ads",Diploma in E-commerce or IT,Fluent English,Strong communication and time management skills,"Logistics Coordinator with 3+ years experience required. Skills needed: Customer Service, Order Management, Google Ads. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,1+ years,"CRM Tools, Shopify, Customer Service, Return Handling",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: CRM Tools, Shopify, Customer Service, Return Handling. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,2+ years,"Customer Service, Return Handling, Amazon Seller Central, Excel, Shopify, Copywriting","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Problem-solving and customer-first mindset,"Email Campaign Assistant with 2+ years experience required. Skills needed: Customer Service, Return Handling, Amazon Seller Central, Excel, Shopify, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,No experience but strong motivation,"Product Description Writing, Shopify, Order Management, Inventory Management, Social Media Marketing, Excel",High School diploma,Good written English,Strong communication and time management skills,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Product Description Writing, Shopify, Order Management, Inventory Management, Social Media Marketing, Excel. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,3+ years,"Inventory Management, Google Ads, Excel, CRM Tools, Zapier","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"Order Fulfillment Associate with 3+ years experience required. Skills needed: Inventory Management, Google Ads, Excel, CRM Tools, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
Inventory Analyst,3+ years,"CRM Tools, Zapier, Return Handling","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Inventory Analyst with 3+ years experience required. Skills needed: CRM Tools, Zapier, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Logistics Coordinator,2+ years,"SEO, Order Management, Zapier, Excel, Product Description Writing, Social Media Marketing","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Logistics Coordinator with 2+ years experience required. Skills needed: SEO, Order Management, Zapier, Excel, Product Description Writing, Social Media Marketing. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,1+ years,"Return Handling, Social Media Marketing, Zapier, Product Description Writing, Inventory Management, Shopify",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: Return Handling, Social Media Marketing, Zapier, Product Description Writing, Inventory Management, Shopify. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,2+ years,"Excel, Return Handling, Shopify, Google Ads, Social Media Marketing, Product Description Writing","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Marketplace Account Executive with 2+ years experience required. Skills needed: Excel, Return Handling, Shopify, Google Ads, Social Media Marketing, Product Description Writing. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,No experience but strong motivation,"Return Handling, Customer Service, CRM Tools, Product Description Writing",High School diploma,Good written English,Problem-solving and customer-first mindset,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Return Handling, Customer Service, CRM Tools, Product Description Writing. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Order Fulfillment Associate,3+ years,"CRM Tools, Inventory Management, Google Ads, Copywriting, Customer Service, Order Management",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"Order Fulfillment Associate with 3+ years experience required. Skills needed: CRM Tools, Inventory Management, Google Ads, Copywriting, Customer Service, Order Management. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,1+ years,"Shopify, Return Handling, Amazon Seller Central",Diploma in E-commerce or IT,Good written English,Strong communication and time management skills,"Email Campaign Assistant with 1+ years experience required. Skills needed: Shopify, Return Handling, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,1+ years,"SEO, Zapier, Google Ads, Product Description Writing, Customer Service","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Order Fulfillment Associate with 1+ years experience required. Skills needed: SEO, Zapier, Google Ads, Product Description Writing, Customer Service. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),3+ years,"Customer Service, Shopify, Google Ads, Order Management, Amazon Seller Central, Inventory Management",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Content Writer (E-commerce) with 3+ years experience required. Skills needed: Customer Service, Shopify, Google Ads, Order Management, Amazon Seller Central, Inventory Management. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),No experience but strong motivation,"Inventory Management, Copywriting, Social Media Marketing, Product Description Writing, Amazon Seller Central, CRM Tools",High School diploma,Good written English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Inventory Management, Copywriting, Social Media Marketing, Product Description Writing, Amazon Seller Central, CRM Tools. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,2+ years,"Order Management, Amazon Seller Central, CRM Tools, SEO, Social Media Marketing",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Inventory Analyst with 2+ years experience required. Skills needed: Order Management, Amazon Seller Central, CRM Tools, SEO, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Logistics Coordinator,2+ years,"Return Handling, Excel, Zapier, Inventory Management, Order Management, Social Media Marketing",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Logistics Coordinator with 2+ years experience required. Skills needed: Return Handling, Excel, Zapier, Inventory Management, Order Management, Social Media Marketing. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),2+ years,"Order Management, Return Handling, SEO",Diploma in E-commerce or IT,Multilingual preferred,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Order Management, Return Handling, SEO. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),2+ years,"Excel, Google Ads, Product Description Writing",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Excel, Google Ads, Product Description Writing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,3+ years,"Product Description Writing, SEO, Google Ads","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Order Fulfillment Associate with 3+ years experience required. Skills needed: Product Description Writing, SEO, Google Ads. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),No experience but strong motivation,"Amazon Seller Central, CRM Tools, Copywriting, Zapier, Social Media Marketing",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, CRM Tools, Copywriting, Zapier, Social Media Marketing. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,3+ years,"Customer Service, Order Management, Google Ads, Return Handling, Shopify, Amazon Seller Central",High School diploma,Multilingual preferred,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 3+ years experience required. Skills needed: Customer Service, Order Management, Google Ads, Return Handling, Shopify, Amazon Seller Central. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,2+ years,"Customer Service, SEO, Product Description Writing, Return Handling, Shopify, Zapier",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Email Campaign Assistant with 2+ years experience required. Skills needed: Customer Service, SEO, Product Description Writing, Return Handling, Shopify, Zapier. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,3+ years,"Order Management, Shopify, Amazon Seller Central, Social Media Marketing",High School diploma,Fluent English,Attention to detail and teamwork,"Email Campaign Assistant with 3+ years experience required. Skills needed: Order Management, Shopify, Amazon Seller Central, Social Media Marketing. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Inventory Analyst,No experience but strong motivation,"Copywriting, Order Management, CRM Tools",High School diploma,Good written English,Problem-solving and customer-first mindset,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Copywriting, Order Management, CRM Tools. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,3+ years,"Copywriting, Inventory Management, Google Ads, Amazon Seller Central, SEO, Shopify","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"Inventory Analyst with 3+ years experience required. Skills needed: Copywriting, Inventory Management, Google Ads, Amazon Seller Central, SEO, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
Inventory Analyst,1+ years,"Excel, Order Management, Social Media Marketing",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Inventory Analyst with 1+ years experience required. Skills needed: Excel, Order Management, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,1+ years,"Customer Service, Shopify, Return Handling, Amazon Seller Central",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Product Listing Manager with 1+ years experience required. Skills needed: Customer Service, Shopify, Return Handling, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Product Listing Manager,2+ years,"Excel, CRM Tools, Copywriting, Order Management, Return Handling, Shopify","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Product Listing Manager with 2+ years experience required. Skills needed: Excel, CRM Tools, Copywriting, Order Management, Return Handling, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,3+ years,"Shopify, Order Management, Excel","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Problem-solving and customer-first mindset,"Email Campaign Assistant with 3+ years experience required. Skills needed: Shopify, Order Management, Excel. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,3+ years,"Zapier, Amazon Seller Central, CRM Tools, Excel, Return Handling, Shopify",Diploma in E-commerce or IT,Fluent English,Strong communication and time management skills,"Email Campaign Assistant with 3+ years experience required. Skills needed: Zapier, Amazon Seller Central, CRM Tools, Excel, Return Handling, Shopify. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Strong communication and time management skills."
Content Writer (E-commerce),1+ years,"Google Ads, Amazon Seller Central, SEO, Inventory Management",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Google Ads, Amazon Seller Central, SEO, Inventory Management. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,2+ years,"Copywriting, Shopify, Product Description Writing, Google Ads, Return Handling",High School diploma,Fluent English,Strong communication and time management skills,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: Copywriting, Shopify, Product Description Writing, Google Ads, Return Handling. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Product Listing Manager,1+ years,"Copywriting, Product Description Writing, Zapier, SEO","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Product Listing Manager with 1+ years experience required. Skills needed: Copywriting, Product Description Writing, Zapier, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,No experience but strong motivation,"Amazon Seller Central, Product Description Writing, Google Ads",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, Product Description Writing, Google Ads. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,No experience but strong motivation,"Zapier, Product Description Writing, Inventory Management, Copywriting, Amazon Seller Central",High School diploma,Good written English,Strong communication and time management skills,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Zapier, Product Description Writing, Inventory Management, Copywriting, Amazon Seller Central. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
Content Writer (E-commerce),3+ years,"SEO, Customer Service, Inventory Management, Amazon Seller Central",High School diploma,Good written English,Attention to detail and teamwork,"Content Writer (E-commerce) with 3+ years experience required. Skills needed: SEO, Customer Service, Inventory Management, Amazon Seller Central. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,No experience but strong motivation,"Zapier, Google Ads, Customer Service, Excel, Social Media Marketing, Product Description Writing","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Marketplace Account Executive with No experience but strong motivation experience required. Skills needed: Zapier, Google Ads, Customer Service, Excel, Social Media Marketing, Product Description Writing. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,2+ years,"Copywriting, Zapier, Amazon Seller Central",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Product Listing Manager with 2+ years experience required. Skills needed: Copywriting, Zapier, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,2+ years,"Return Handling, Copywriting, CRM Tools",High School diploma,Multilingual preferred,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: Return Handling, Copywriting, CRM Tools. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Product Listing Manager,1+ years,"Google Ads, Copywriting, Social Media Marketing, Customer Service, Shopify",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Product Listing Manager with 1+ years experience required. Skills needed: Google Ads, Copywriting, Social Media Marketing, Customer Service, Shopify. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Marketplace Account Executive,3+ years,"Social Media Marketing, Customer Service, Return Handling",High School diploma,Good written English,Attention to detail and teamwork,"Marketplace Account Executive with 3+ years experience required. Skills needed: Social Media Marketing, Customer Service, Return Handling. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,2+ years,"Excel, Customer Service, CRM Tools, Return Handling",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: Excel, Customer Service, CRM Tools, Return Handling. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Marketplace Account Executive,3+ years,"Order Management, Social Media Marketing, Excel",High School diploma,Good written English,Problem-solving and customer-first mindset,"Marketplace Account Executive with 3+ years experience required. Skills needed: Order Management, Social Media Marketing, Excel. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,1+ years,"SEO, Social Media Marketing, Google Ads, Copywriting",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Email Campaign Assistant with 1+ years experience required. Skills needed: SEO, Social Media Marketing, Google Ads, Copywriting. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,No experience but strong motivation,"Inventory Management, Amazon Seller Central, Return Handling, Social Media Marketing","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Inventory Management, Amazon Seller Central, Return Handling, Social Media Marketing. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,3+ years,"Amazon Seller Central, Copywriting, Product Description Writing, Zapier",High School diploma,Multilingual preferred,Strong communication and time management skills,"Inventory Analyst with 3+ years experience required. Skills needed: Amazon Seller Central, Copywriting, Product Description Writing, Zapier. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Product Listing Manager,3+ years,"Product Description Writing, CRM Tools, Order Management, Zapier, Inventory Management",High School diploma,Good written English,Attention to detail and teamwork,"Product Listing Manager with 3+ years experience required. Skills needed: Product Description Writing, CRM Tools, Order Management, Zapier, Inventory Management. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,No experience but strong motivation,"Shopify, Inventory Management, Excel",High School diploma,Fluent English,Strong communication and time management skills,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Shopify, Inventory Management, Excel. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,No experience but strong motivation,"Amazon Seller Central, Order Management, Excel","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Order Fulfillment Associate with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, Order Management, Excel. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,1+ years,"Shopify, CRM Tools, Order Management",High School diploma,Fluent English,Strong communication and time management skills,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: Shopify, CRM Tools, Order Management. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Email Campaign Assistant,No experience but strong motivation,"Return Handling, Product Description Writing, Google Ads, Excel, Social Media Marketing",Diploma in E-commerce or IT,Fluent English,Strong communication and time management skills,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Return Handling, Product Description Writing, Google Ads, Excel, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,3+ years,"Excel, Amazon Seller Central, Google Ads, SEO, Customer Service","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"E-commerce Customer Service Specialist with 3+ years experience required. Skills needed: Excel, Amazon Seller Central, Google Ads, SEO, Customer Service. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Logistics Coordinator,No experience but strong motivation,"CRM Tools, Amazon Seller Central, Order Management, SEO","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Logistics Coordinator with No experience but strong motivation experience required. Skills needed: CRM Tools, Amazon Seller Central, Order Management, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,2+ years,"Social Media Marketing, Inventory Management, CRM Tools",Diploma in E-commerce or IT,Good written English,Strong communication and time management skills,"Product Listing Manager with 2+ years experience required. Skills needed: Social Media Marketing, Inventory Management, CRM Tools. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,1+ years,"Google Ads, CRM Tools, Social Media Marketing, Order Management",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Logistics Coordinator with 1+ years experience required. Skills needed: Google Ads, CRM Tools, Social Media Marketing, Order Management. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Inventory Analyst,1+ years,"Product Description Writing, Amazon Seller Central, Return Handling, Social Media Marketing, Customer Service",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"Inventory Analyst with 1+ years experience required. Skills needed: Product Description Writing, Amazon Seller Central, Return Handling, Social Media Marketing, Customer Service. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,No experience but strong motivation,"Copywriting, Order Management, SEO, Zapier, Amazon Seller Central",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Copywriting, Order Management, SEO, Zapier, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,1+ years,"Amazon Seller Central, Return Handling, Inventory Management, SEO, Excel, Copywriting","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Logistics Coordinator with 1+ years experience required. Skills needed: Amazon Seller Central, Return Handling, Inventory Management, SEO, Excel, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Marketplace Account Executive,2+ years,"Excel, Shopify, Order Management",High School diploma,Good written English,Strong communication and time management skills,"Marketplace Account Executive with 2+ years experience required. Skills needed: Excel, Shopify, Order Management. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,3+ years,"SEO, Copywriting, Social Media Marketing, Excel, CRM Tools, Product Description Writing","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Logistics Coordinator with 3+ years experience required. Skills needed: SEO, Copywriting, Social Media Marketing, Excel, CRM Tools, Product Description Writing. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Order Fulfillment Associate,3+ years,"Product Description Writing, Order Management, Inventory Management","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Order Fulfillment Associate with 3+ years experience required. Skills needed: Product Description Writing, Order Management, Inventory Management. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Marketplace Account Executive,2+ years,"Google Ads, Return Handling, CRM Tools, Zapier","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Marketplace Account Executive with 2+ years experience required. Skills needed: Google Ads, Return Handling, CRM Tools, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Product Listing Manager,3+ years,"CRM Tools, Zapier, Customer Service, Return Handling, Amazon Seller Central",High School diploma,Good written English,Strong communication and time management skills,"Product Listing Manager with 3+ years experience required. Skills needed: CRM Tools, Zapier, Customer Service, Return Handling, Amazon Seller Central. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,No experience but strong motivation,"CRM Tools, Excel, Zapier, Order Management, Social Media Marketing",High School diploma,Multilingual preferred,Attention to detail and teamwork,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: CRM Tools, Excel, Zapier, Order Management, Social Media Marketing. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,1+ years,"Inventory Management, Customer Service, Return Handling",High School diploma,Fluent English,Strong communication and time management skills,"Logistics Coordinator with 1+ years experience required. Skills needed: Inventory Management, Customer Service, Return Handling. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,2+ years,"Copywriting, Social Media Marketing, Zapier, Inventory Management, Amazon Seller Central","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Order Fulfillment Associate with 2+ years experience required. Skills needed: Copywriting, Social Media Marketing, Zapier, Inventory Management, Amazon Seller Central. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Social Media Marketing, Copywriting, Return Handling","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Social Media Marketing, Copywriting, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,2+ years,"Social Media Marketing, Zapier, Inventory Management, Google Ads","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Problem-solving and customer-first mindset,"Marketplace Account Executive with 2+ years experience required. Skills needed: Social Media Marketing, Zapier, Inventory Management, Google Ads. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),1+ years,"Zapier, Inventory Management, Excel",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Zapier, Inventory Management, Excel. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Logistics Coordinator,3+ years,"Inventory Management, Zapier, CRM Tools, Customer Service",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Inventory Management, Zapier, CRM Tools, Customer Service. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Inventory Analyst,No experience but strong motivation,"Copywriting, Google Ads, Order Management, Shopify","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Copywriting, Google Ads, Order Management, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,1+ years,"Return Handling, Order Management, Copywriting, Google Ads","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Inventory Analyst with 1+ years experience required. Skills needed: Return Handling, Order Management, Copywriting, Google Ads. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,No experience but strong motivation,"Amazon Seller Central, Google Ads, Excel, Product Description Writing, Zapier","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Product Listing Manager with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, Google Ads, Excel, Product Description Writing, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Logistics Coordinator,1+ years,"SEO, Inventory Management, Zapier, Google Ads, Return Handling, Product Description Writing",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Logistics Coordinator with 1+ years experience required. Skills needed: SEO, Inventory Management, Zapier, Google Ads, Return Handling, Product Description Writing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Order Fulfillment Associate,1+ years,"CRM Tools, SEO, Zapier, Customer Service, Social Media Marketing",High School diploma,Good written English,Strong communication and time management skills,"Order Fulfillment Associate with 1+ years experience required. Skills needed: CRM Tools, SEO, Zapier, Customer Service, Social Media Marketing. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
